iter	Passed	Remaining
773	1008	294
774	1013	294
775	1014	292
776	1015	291
777	1015	289
778	1016	288
779	1018	287
780	1022	286
781	1024	285
782	1025	284
783	1026	282
784	1027	281
785	1028	280
786	1029	278
787	1030	277
788	1031	275
789	1032	274
790	1033	272
791	1033	271
792	1034	270
793	1035	268
794	1036	267
795	1037	265
796	1038	264
797	1039	263
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1043	256
803	1044	254
804	1045	253
805	1045	251
806	1047	250
807	1048	249
808	1049	247
809	1049	246
810	1050	244
811	1051	243
812	1052	242
813	1053	240
814	1054	239
815	1055	238
816	1056	236
817	1057	235
818	1058	233
819	1059	232
820	1060	231
821	1061	229
822	1062	228
823	1063	227
824	1064	225
825	1065	224
826	1066	223
827	1067	221
828	1068	220
829	1069	218
830	1070	217
831	1071	216
832	1072	214
833	1073	213
834	1074	212
835	1075	210
836	1076	209
837	1077	208
838	1079	207
839	1080	205
840	1081	204
841	1082	203
842	1083	201
843	1084	200
844	1085	199
845	1086	197
846	1086	196
847	1087	194
848	1088	193
849	1089	192
850	1090	190
851	1091	189
852	1092	188
853	1092	186
854	1093	185
855	1094	184
856	1095	182
857	1096	181
858	1097	180
859	1098	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1103	172
865	1104	170
866	1105	169
867	1107	168
868	1107	167
869	1109	165
870	1110	164
871	1111	163
872	1112	161
873	1113	160
874	1113	159
875	1115	157
876	1115	156
877	1117	155
878	1117	153
879	1118	152
880	1119	151
881	1120	149
882	1121	148
883	1123	147
884	1124	146
885	1124	144
886	1126	143
887	1127	142
888	1128	140
889	1129	139
890	1130	138
891	1131	137
892	1132	135
893	1133	134
894	1134	133
895	1136	131
896	1136	130
897	1138	129
898	1139	127
899	1139	126
900	1140	125
901	1141	124
902	1142	122
903	1143	121
904	1144	120
905	1145	118
906	1146	117
907	1147	116
908	1148	115
909	1149	113
910	1150	112
911	1151	111
912	1152	109
913	1153	108
914	1154	107
915	1155	105
916	1156	104
917	1157	103
918	1158	102
919	1159	100
920	1160	99
921	1161	98
922	1163	97
923	1167	95
924	1168	94
925	1170	93
926	1173	92
927	1174	91
928	1175	89
929	1176	88
930	1178	87
931	1179	86
932	1180	84
933	1181	83
934	1182	82
935	1183	80
936	1184	79
937	1189	78
938	1190	77
939	1191	76
940	1192	74
941	1193	73
942	1195	72
943	1196	70
944	1197	69
945	1198	68
946	1198	67
947	1199	65
948	1201	64
949	1202	63
950	1203	62
951	1204	60
952	1205	59
953	1206	58
954	1207	56
955	1208	55
956	1208	54
957	1209	53
958	1210	51
959	1211	50
960	1212	49
961	1213	47
962	1214	46
963	1215	45
964	1216	44
965	1217	42
966	1218	41
967	1218	40
968	1219	39
969	1221	37
970	1222	36
971	1223	35
972	1224	33
973	1235	32
974	1236	31
975	1237	30
976	1238	29
977	1238	27
978	1239	26
979	1240	25
980	1241	24
981	1242	22
982	1243	21
983	1244	20
984	1245	18
985	1246	17
986	1247	16
987	1248	15
988	1249	13
989	1250	12
990	1251	11
991	1252	10
992	1254	8
993	1255	7
994	1256	6
995	1257	5
996	1258	3
997	1258	2
998	1259	1
999	1260	0
